statefips,year,ajd_total,jdd_total,ajd_female,ajd_male,jdd_female,jdd_male,pop_total,pop_female,pop_male
50,1991,893,11112,-140.4309582710266,838.4308586120605,4344.247557878494,6063.752556800842,564798,288285,276513
51,1991,-43462,103498,-20669.21962431818,-17857.78047269955,42008.49273687601,51393.50770044327,6216884,3167222,3049662
53,1991,-10352,97360,-7537.621753908694,354.62145870924,39456.77244567871,54340.23052120209,4903043,2470375,2432668
54,1991,-5417,21863,-2440.957035303116,-2441.042828798294,7236.396540164948,11034.60338187218,1792548,931355,861193
55,1991,-27497,66330,-12706.52710625529,-12546.47260218859,29007.33099925518,31545.66973876953,4904562,2504609,2399953
56,1991,-1158,7016,-381.6432549953461,-552.356734752655,2785.193698883057,3089.806254863739,453690,226565,227125
72,1991,0,0,0,0,0,0,0,0,0
,1991,0,0,0,0,0,0,0,0,0
1,1992,-6355,83968,-5337.779348134995,7260.779105186462,33654.06676506996,44494.93158340454,4099156,2134265,1964891
2,1992,-2576,8433,-1105.089836269617,-1147.910116672516,3491.967559814453,3558.03223323822,570193,270168,300025
4,1992,-22903,86160,-10733.71853840351,-9658.281527161598,36115.64261627197,44223.35832595825,3788576,1915555,1873021
5,1992,-6945,37131,-1949.121776819229,-2096.878051757813,15364.63062381744,17374.36929774284,2383144,1232775,1150369
6,1992,38070,770957,-924.956222653389,43037.95772838593,322434.5225410461,419074.4594650269,30470736,15219485,15251251
8,1992,-9177,79498,-1603.012272566557,-1139.987298190594,26866.68646392226,29812.31204319,3387119,1705914,1681205
9,1992,9053,79647,1196.34431707859,10155.65590572357,33126.81231689453,43064.18969726563,3302895,1702975,1599920
10,1992,-7366,11941,-3342.899963378906,-1560.100140571594,5348.307373046875,6040.691833496094,683080,351600,331480
11,1992,625,20678,-214.2944030761719,325.2943420410156,9939.908203125,9699.091796875,600870,320090,280780
12,1992,-32606,351781,-25615.2575173378,-2700.742950677872,150781.7257137299,187105.2635145187,13369798,6889557,6480241
13,1992,16600,188548,6502.574059784412,15533.42601460218,79184.37564218044,92845.62546038628,6653005,3420483,3232522
15,1992,-8948,23718,0,0,0,0,1136754,558501,578253
16,1992,-732,20049,-388.1491571068764,-154.8507752344012,8038.586157083511,9280.413313865662,1041316,522870,518446
17,1992,-19584,235968,-14783.49286431074,3922.493045121431,102763.479957819,121196.5200560093,11568964,5944631,5624333
18,1992,-10633,102493,-6036.567948460579,1477.568100094795,43660.2937194705,52826.70571804047,5616388,2890350,2726038
19,1992,-4413,41458,-1940.505393505096,-966.4944031834602,17769.11945474148,18397.88057756424,2797613,1440654,1356959
20,1992,-5512,48157,-3094.249236643314,-1144.750730514526,19783.47308468819,22564.52628588676,2498722,1271511,1227211
21,1992,-13003,60515,-4412.602772727609,-3430.3972633183,22776.64978146553,30444.34983968735,3722328,1918596,1803732
22,1992,-9568,77428,-4628.460057735443,-1738.538114927709,31601.63492298126,40099.36476993561,4253279,2203606,2049673
23,1992,4087,24231,277.5244040489197,2909.475688934326,9824.082439422607,13058.91725158691,1237081,634645,602436
24,1992,15545,119664,2088.748416900635,12918.25097513199,51528.12651824951,63516.87493133545,4867641,2507845,2359796
25,1992,52970,177090,19219.76040458679,34163.24041557312,76960.85240936279,93627.14451599121,6018470,3128234,2890236
26,1992,24104,189073,10446.72716540098,18814.2730499059,84947.43290901184,94508.57258796692,9400446,4830819,4569627
27,1992,-4713,96216,-2415.963672436774,2421.963881552219,40147.17093420029,47546.82707750797,4440859,2260965,2179894
28,1992,-7466,36140,-1092.962841033936,-1448.036982804537,14932.6674785614,16493.33255338669,2598733,1354398,1244335
29,1992,-2618,110309,-3035.803901717067,4137.804594933987,46728.7437877655,54514.25788211823,5170800,2678031,2492769
30,1992,-2625,11241,-1239.366218447685,-631.6337776482105,4461.591863691807,5170.408242106438,809680,408092,401588
31,1992,-1253,28782,826.5382650084794,379.4614718668163,12806.55725026131,12794.44283759594,1595919,816612,779307
32,1992,-8725,28700,-3949.691118717194,-3419.309408903122,11919.83583831787,14953.16388773918,1296171,636311,659860
33,1992,8097,33138,2813.294492721558,5564.705613136292,14629.27282714844,17963.72702026367,1109929,566944,542985
